,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Original_medal,Gold,Silver,Bronze,Athlete_Team,Original_gold_winner,New_medal
1077,Paris (1924),1924,Athletics,Athletics,Francis Hussey,USA,Men,4x100m relay men,Gold,1,0,0,Francis Hussey (USA),Jeremiah Alfred Leconey (USA),Gold
1078,Paris (1924),1924,Athletics,Athletics,Francis Hussey,USA,Men,4x100m relay men,Gold,1,0,0,Francis Hussey (USA),Loren Murchison (USA),Gold
1079,Paris (1924),1924,Athletics,Athletics,Jeremiah Alfred Leconey,USA,Men,4x100m relay men,Gold,1,0,0,Jeremiah Alfred Leconey (USA),Louis Alfred Clarke (USA),Gold
1080,Paris (1924),1924,Athletics,Athletics,Jeremiah Alfred Leconey,USA,Men,4x100m relay men,Gold,1,0,0,Jeremiah Alfred Leconey (USA),Francis Hussey (USA),Gold
1081,Paris (1924),1924,Athletics,Athletics,Jeremiah Alfred Leconey,USA,Men,4x100m relay men,Gold,1,0,0,Jeremiah Alfred Leconey (USA),Jeremiah Alfred Leconey (USA),Gold
1082,Paris (1924),1924,Athletics,Athletics,Jeremiah Alfred Leconey,USA,Men,4x100m relay men,Gold,1,0,0,Jeremiah Alfred Leconey (USA),Loren Murchison (USA),Gold
1083,Paris (1924),1924,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Louis Alfred Clarke (USA),Gold
1084,Paris (1924),1924,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Francis Hussey (USA),Gold
1085,Paris (1924),1924,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Jeremiah Alfred Leconey (USA),Gold
1086,Paris (1924),1924,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Loren Murchison (USA),Gold
1119,Paris (1924),1924,Athletics,Athletics,Commodore Cochrane,USA,Men,4x400m relay men,Gold,1,0,0,Commodore Cochrane (USA),Commodore Cochrane (USA),Gold
1120,Paris (1924),1924,Athletics,Athletics,Commodore Cochrane,USA,Men,4x400m relay men,Gold,1,0,0,Commodore Cochrane (USA),Alan Helffrich (USA),Gold
1121,Paris (1924),1924,Athletics,Athletics,Commodore Cochrane,USA,Men,4x400m relay men,Gold,1,0,0,Commodore Cochrane (USA),J. Oliver Macdonald (USA),Gold
1122,Paris (1924),1924,Athletics,Athletics,Commodore Cochrane,USA,Men,4x400m relay men,Gold,1,0,0,Commodore Cochrane (USA),William Stephenson (USA),Gold
1123,Paris (1924),1924,Athletics,Athletics,Alan Helffrich,USA,Men,4x400m relay men,Gold,1,0,0,Alan Helffrich (USA),Commodore Cochrane (USA),Gold
1124,Paris (1924),1924,Athletics,Athletics,Alan Helffrich,USA,Men,4x400m relay men,Gold,1,0,0,Alan Helffrich (USA),Alan Helffrich (USA),Gold
1125,Paris (1924),1924,Athletics,Athletics,Alan Helffrich,USA,Men,4x400m relay men,Gold,1,0,0,Alan Helffrich (USA),J. Oliver Macdonald (USA),Gold
1126,Paris (1924),1924,Athletics,Athletics,Alan Helffrich,USA,Men,4x400m relay men,Gold,1,0,0,Alan Helffrich (USA),William Stephenson (USA),Gold
1127,Paris (1924),1924,Athletics,Athletics,J. Oliver Macdonald,USA,Men,4x400m relay men,Gold,1,0,0,J. Oliver Macdonald (USA),Commodore Cochrane (USA),Gold
1128,Paris (1924),1924,Athletics,Athletics,J. Oliver Macdonald,USA,Men,4x400m relay men,Gold,1,0,0,J. Oliver Macdonald (USA),Alan Helffrich (USA),Gold
1129,Paris (1924),1924,Athletics,Athletics,J. Oliver Macdonald,USA,Men,4x400m relay men,Gold,1,0,0,J. Oliver Macdonald (USA),J. Oliver Macdonald (USA),Gold
1130,Paris (1924),1924,Athletics,Athletics,J. Oliver Macdonald,USA,Men,4x400m relay men,Gold,1,0,0,J. Oliver Macdonald (USA),William Stephenson (USA),Gold
1131,Paris (1924),1924,Athletics,Athletics,William Stephenson,USA,Men,4x400m relay men,Gold,1,0,0,William Stephenson (USA),Commodore Cochrane (USA),Gold
1132,Paris (1924),1924,Athletics,Athletics,William Stephenson,USA,Men,4x400m relay men,Gold,1,0,0,William Stephenson (USA),Alan Helffrich (USA),Gold
1133,Paris (1924),1924,Athletics,Athletics,William Stephenson,USA,Men,4x400m relay men,Gold,1,0,0,William Stephenson (USA),J. Oliver Macdonald (USA),Gold
1134,Paris (1924),1924,Athletics,Athletics,William Stephenson,USA,Men,4x400m relay men,Gold,1,0,0,William Stephenson (USA),William Stephenson (USA),Gold
1152,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,5000m men,Gold,1,0,0,Paavo Nurmi (FIN),Paavo Nurmi (FIN),Gold
1155,Paris (1924),1924,Athletics,Athletics,Douglas Gordon Lowe,GBR,Men,800m men,Gold,1,0,0,Douglas Gordon Lowe (GBR),Douglas Gordon Lowe (GBR),Gold
1158,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country individual men,Gold,1,0,0,Paavo Nurmi (FIN),Paavo Nurmi (FIN),Gold
1196,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Eero Berg (FIN),Gold
1197,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Heikki Liimatainen (FIN),Gold
1198,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Paavo Nurmi (FIN),Gold
1199,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Eino Rastas (FIN),Gold
1200,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Ville Ritola (FIN),Gold
1201,Paris (1924),1924,Athletics,Athletics,Eero Berg,FIN,Men,cross country team men,Gold,1,0,0,Eero Berg (FIN),Väinö Jeremias Sipilä (FIN),Gold
1202,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Eero Berg (FIN),Gold
1203,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Heikki Liimatainen (FIN),Gold
1204,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Paavo Nurmi (FIN),Gold
1205,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Eino Rastas (FIN),Gold
1206,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Ville Ritola (FIN),Gold
1207,Paris (1924),1924,Athletics,Athletics,Heikki Liimatainen,FIN,Men,cross country team men,Gold,1,0,0,Heikki Liimatainen (FIN),Väinö Jeremias Sipilä (FIN),Gold
1208,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Eero Berg (FIN),Gold
1209,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Heikki Liimatainen (FIN),Gold
1210,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Paavo Nurmi (FIN),Gold
1211,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Eino Rastas (FIN),Gold
1212,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Ville Ritola (FIN),Gold
1213,Paris (1924),1924,Athletics,Athletics,Paavo Nurmi,FIN,Men,cross country team men,Gold,1,0,0,Paavo Nurmi (FIN),Väinö Jeremias Sipilä (FIN),Gold
1214,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Eero Berg (FIN),Gold
1215,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Heikki Liimatainen (FIN),Gold
1216,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Paavo Nurmi (FIN),Gold
1217,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Eino Rastas (FIN),Gold
1218,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Ville Ritola (FIN),Gold
1219,Paris (1924),1924,Athletics,Athletics,Eino Rastas,FIN,Men,cross country team men,Gold,1,0,0,Eino Rastas (FIN),Väinö Jeremias Sipilä (FIN),Gold
1226,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Eero Berg (FIN),Gold
1227,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Heikki Liimatainen (FIN),Gold
1228,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Paavo Nurmi (FIN),Gold
1229,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Eino Rastas (FIN),Gold
1230,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Ville Ritola (FIN),Gold
1231,Paris (1924),1924,Athletics,Athletics,Väinö Jeremias Sipilä,FIN,Men,cross country team men,Gold,1,0,0,Väinö Jeremias Sipilä (FIN),Väinö Jeremias Sipilä (FIN),Gold
1236,Paris (1924),1924,Athletics,Athletics,Verne Hobson Booth,USA,Men,cross country team men,Silver,0,1,0,Verne Hobson Booth (USA),Ville Ritola (FIN),Gold
1242,Paris (1924),1924,Athletics,Athletics,August Fager,USA,Men,cross country team men,Silver,0,1,0,August Fager (USA),Ville Ritola (FIN),Gold
1248,Paris (1924),1924,Athletics,Athletics,John Gray,USA,Men,cross country team men,Silver,0,1,0,John Gray (USA),Ville Ritola (FIN),Gold
1254,Paris (1924),1924,Athletics,Athletics,James Henigan,USA,Men,cross country team men,Silver,0,1,0,James Henigan (USA),Ville Ritola (FIN),Gold
1260,Paris (1924),1924,Athletics,Athletics,Richard Earl Johnson,USA,Men,cross country team men,Silver,0,1,0,Richard Earl Johnson (USA),Ville Ritola (FIN),Gold
1266,Paris (1924),1924,Athletics,Athletics,Arthur Studenroth,USA,Men,cross country team men,Silver,0,1,0,Arthur Studenroth (USA),Ville Ritola (FIN),Gold
1269,Paris (1924),1924,Athletics,Athletics,Harold Marion Osborn,USA,Men,decathlon men,Gold,1,0,0,Harold Marion Osborn (USA),Harold Marion Osborn (USA),Gold
1272,Paris (1924),1924,Athletics,Athletics,Lemuel Clarence Houser,USA,Men,discus throw men,Gold,1,0,0,Lemuel Clarence Houser (USA),Lemuel Clarence Houser (USA),Gold
1275,Paris (1924),1924,Athletics,Athletics,Frederick Delmont Tootell,USA,Men,hammer throw men,Gold,1,0,0,Frederick Delmont Tootell (USA),Frederick Delmont Tootell (USA),Gold
1278,Paris (1924),1924,Athletics,Athletics,Harold Marion Osborn,USA,Men,high jump men,Gold,1,0,0,Harold Marion Osborn (USA),Harold Marion Osborn (USA),Gold
1281,Paris (1924),1924,Athletics,Athletics,Jonni Myyrä,FIN,Men,javelin throw men,Gold,1,0,0,Jonni Myyrä (FIN),Jonni Myyrä (FIN),Gold
1284,Paris (1924),1924,Athletics,Athletics,William De Hart Hubbard,USA,Men,long jump men,Gold,1,0,0,William De Hart Hubbard (USA),William De Hart Hubbard (USA),Gold
1287,Paris (1924),1924,Athletics,Athletics,Albin Oskar Stenroos,FIN,Men,marathon men,Gold,1,0,0,Albin Oskar Stenroos (FIN),Albin Oskar Stenroos (FIN),Gold
1290,Paris (1924),1924,Athletics,Athletics,Eero Reino Lehtonen,FIN,Men,pentathlon men,Gold,1,0,0,Eero Reino Lehtonen (FIN),Eero Reino Lehtonen (FIN),Gold
1293,Paris (1924),1924,Athletics,Athletics,Lee Barnes,USA,Men,pole vault men,Gold,1,0,0,Lee Barnes (USA),Lee Barnes (USA),Gold
1296,Paris (1924),1924,Athletics,Athletics,Lemuel Clarence Houser,USA,Men,shot put men,Gold,1,0,0,Lemuel Clarence Houser (USA),Lemuel Clarence Houser (USA),Gold
1299,Paris (1924),1924,Athletics,Athletics,Anthony William Winter,AUS,Men,triple jump men,Gold,1,0,0,Anthony William Winter (AUS),Anthony William Winter (AUS),Gold
1302,Amsterdam (1928),1928,Athletics,Athletics,Paavo Nurmi,FIN,Men,10000m men,Gold,1,0,0,Paavo Nurmi (FIN),Paavo Nurmi (FIN),Gold
1305,Amsterdam (1928),1928,Athletics,Athletics,Percy Williams,CAN,Men,100m men,Gold,1,0,0,Percy Williams (CAN),Percy Williams (CAN),Gold
1308,Amsterdam (1928),1928,Athletics,Athletics,Elizabeth Robinson,USA,Women,100m women,Gold,1,0,0,Elizabeth Robinson (USA),Elizabeth Robinson (USA),Gold
1311,Amsterdam (1928),1928,Athletics,Athletics,Sidney Atkinson,RSA,Men,110m hurdles men,Gold,1,0,0,Sidney Atkinson (RSA),Sidney Atkinson (RSA),Gold
1314,Amsterdam (1928),1928,Athletics,Athletics,Harri Edvin Larva,FIN,Men,1500m men,Gold,1,0,0,Harri Edvin Larva (FIN),Harri Edvin Larva (FIN),Gold
1317,Amsterdam (1928),1928,Athletics,Athletics,Percy Williams,CAN,Men,200m men,Gold,1,0,0,Percy Williams (CAN),Percy Williams (CAN),Gold
1320,Amsterdam (1928),1928,Athletics,Athletics,Toivo Aarne Loukola,FIN,Men,3000m steeplechase men,Gold,1,0,0,Toivo Aarne Loukola (FIN),Toivo Aarne Loukola (FIN),Gold
1323,Amsterdam (1928),1928,Athletics,Athletics,Raymond James Barbuti,USA,Men,400m men,Gold,1,0,0,Raymond James Barbuti (USA),Raymond James Barbuti (USA),Gold
1326,Amsterdam (1928),1928,Athletics,Athletics,David George Burghley,GBR,Men,400m hurdles men,Gold,1,0,0,David George Burghley (GBR),David George Burghley (GBR),Gold
1344,Amsterdam (1928),1928,Athletics,Athletics,Charles Edward Borah,USA,Men,4x100m relay men,Gold,1,0,0,Charles Edward Borah (USA),Charles Edward Borah (USA),Gold
1345,Amsterdam (1928),1928,Athletics,Athletics,Charles Edward Borah,USA,Men,4x100m relay men,Gold,1,0,0,Charles Edward Borah (USA),James F. Quinn (USA),Gold
1346,Amsterdam (1928),1928,Athletics,Athletics,Charles Edward Borah,USA,Men,4x100m relay men,Gold,1,0,0,Charles Edward Borah (USA),Henry Argue Russell (USA),Gold
1347,Amsterdam (1928),1928,Athletics,Athletics,Charles Edward Borah,USA,Men,4x100m relay men,Gold,1,0,0,Charles Edward Borah (USA),Frank Clifford Wykoff (USA),Gold
1348,Amsterdam (1928),1928,Athletics,Athletics,James F. Quinn,USA,Men,4x100m relay men,Gold,1,0,0,James F. Quinn (USA),Charles Edward Borah (USA),Gold
1349,Amsterdam (1928),1928,Athletics,Athletics,James F. Quinn,USA,Men,4x100m relay men,Gold,1,0,0,James F. Quinn (USA),James F. Quinn (USA),Gold
1350,Amsterdam (1928),1928,Athletics,Athletics,James F. Quinn,USA,Men,4x100m relay men,Gold,1,0,0,James F. Quinn (USA),Henry Argue Russell (USA),Gold
1351,Amsterdam (1928),1928,Athletics,Athletics,James F. Quinn,USA,Men,4x100m relay men,Gold,1,0,0,James F. Quinn (USA),Frank Clifford Wykoff (USA),Gold
1352,Amsterdam (1928),1928,Athletics,Athletics,Henry Argue Russell,USA,Men,4x100m relay men,Gold,1,0,0,Henry Argue Russell (USA),Charles Edward Borah (USA),Gold
1353,Amsterdam (1928),1928,Athletics,Athletics,Henry Argue Russell,USA,Men,4x100m relay men,Gold,1,0,0,Henry Argue Russell (USA),James F. Quinn (USA),Gold
1354,Amsterdam (1928),1928,Athletics,Athletics,Henry Argue Russell,USA,Men,4x100m relay men,Gold,1,0,0,Henry Argue Russell (USA),Henry Argue Russell (USA),Gold
1355,Amsterdam (1928),1928,Athletics,Athletics,Henry Argue Russell,USA,Men,4x100m relay men,Gold,1,0,0,Henry Argue Russell (USA),Frank Clifford Wykoff (USA),Gold
1356,Amsterdam (1928),1928,Athletics,Athletics,Frank Clifford Wykoff,USA,Men,4x100m relay men,Gold,1,0,0,Frank Clifford Wykoff (USA),Charles Edward Borah (USA),Gold
1357,Amsterdam (1928),1928,Athletics,Athletics,Frank Clifford Wykoff,USA,Men,4x100m relay men,Gold,1,0,0,Frank Clifford Wykoff (USA),James F. Quinn (USA),Gold
1358,Amsterdam (1928),1928,Athletics,Athletics,Frank Clifford Wykoff,USA,Men,4x100m relay men,Gold,1,0,0,Frank Clifford Wykoff (USA),Henry Argue Russell (USA),Gold
1359,Amsterdam (1928),1928,Athletics,Athletics,Frank Clifford Wykoff,USA,Men,4x100m relay men,Gold,1,0,0,Frank Clifford Wykoff (USA),Frank Clifford Wykoff (USA),Gold
1392,Amsterdam (1928),1928,Athletics,Athletics,Myrtle Alice Cook,CAN,Women,4x100m relay women,Gold,1,0,0,Myrtle Alice Cook (CAN),Myrtle Alice Cook (CAN),Gold
1393,Amsterdam (1928),1928,Athletics,Athletics,Myrtle Alice Cook,CAN,Women,4x100m relay women,Gold,1,0,0,Myrtle Alice Cook (CAN),Fanny Rosenfeld (CAN),Gold
1394,Amsterdam (1928),1928,Athletics,Athletics,Myrtle Alice Cook,CAN,Women,4x100m relay women,Gold,1,0,0,Myrtle Alice Cook (CAN),Ethel M. Smith (CAN),Gold
1395,Amsterdam (1928),1928,Athletics,Athletics,Myrtle Alice Cook,CAN,Women,4x100m relay women,Gold,1,0,0,Myrtle Alice Cook (CAN),Jean Thompson (CAN),Gold
1396,Amsterdam (1928),1928,Athletics,Athletics,Fanny Rosenfeld,CAN,Women,4x100m relay women,Gold,1,0,0,Fanny Rosenfeld (CAN),Myrtle Alice Cook (CAN),Gold
1397,Amsterdam (1928),1928,Athletics,Athletics,Fanny Rosenfeld,CAN,Women,4x100m relay women,Gold,1,0,0,Fanny Rosenfeld (CAN),Fanny Rosenfeld (CAN),Gold
1398,Amsterdam (1928),1928,Athletics,Athletics,Fanny Rosenfeld,CAN,Women,4x100m relay women,Gold,1,0,0,Fanny Rosenfeld (CAN),Ethel M. Smith (CAN),Gold
1399,Amsterdam (1928),1928,Athletics,Athletics,Fanny Rosenfeld,CAN,Women,4x100m relay women,Gold,1,0,0,Fanny Rosenfeld (CAN),Jean Thompson (CAN),Gold
1400,Amsterdam (1928),1928,Athletics,Athletics,Ethel M. Smith,CAN,Women,4x100m relay women,Gold,1,0,0,Ethel M. Smith (CAN),Myrtle Alice Cook (CAN),Gold
1401,Amsterdam (1928),1928,Athletics,Athletics,Ethel M. Smith,CAN,Women,4x100m relay women,Gold,1,0,0,Ethel M. Smith (CAN),Fanny Rosenfeld (CAN),Gold
1402,Amsterdam (1928),1928,Athletics,Athletics,Ethel M. Smith,CAN,Women,4x100m relay women,Gold,1,0,0,Ethel M. Smith (CAN),Ethel M. Smith (CAN),Gold
1403,Amsterdam (1928),1928,Athletics,Athletics,Ethel M. Smith,CAN,Women,4x100m relay women,Gold,1,0,0,Ethel M. Smith (CAN),Jean Thompson (CAN),Gold
1404,Amsterdam (1928),1928,Athletics,Athletics,Jean Thompson,CAN,Women,4x100m relay women,Gold,1,0,0,Jean Thompson (CAN),Myrtle Alice Cook (CAN),Gold
1405,Amsterdam (1928),1928,Athletics,Athletics,Jean Thompson,CAN,Women,4x100m relay women,Gold,1,0,0,Jean Thompson (CAN),Fanny Rosenfeld (CAN),Gold
1406,Amsterdam (1928),1928,Athletics,Athletics,Jean Thompson,CAN,Women,4x100m relay women,Gold,1,0,0,Jean Thompson (CAN),Ethel M. Smith (CAN),Gold
1407,Amsterdam (1928),1928,Athletics,Athletics,Jean Thompson,CAN,Women,4x100m relay women,Gold,1,0,0,Jean Thompson (CAN),Jean Thompson (CAN),Gold
1440,Amsterdam (1928),1928,Athletics,Athletics,Frederick Pitt Alderman,USA,Men,4x400m relay men,Gold,1,0,0,Frederick Pitt Alderman (USA),Frederick Pitt Alderman (USA),Gold
1441,Amsterdam (1928),1928,Athletics,Athletics,Frederick Pitt Alderman,USA,Men,4x400m relay men,Gold,1,0,0,Frederick Pitt Alderman (USA),George Hetzel Baird (USA),Gold
1442,Amsterdam (1928),1928,Athletics,Athletics,Frederick Pitt Alderman,USA,Men,4x400m relay men,Gold,1,0,0,Frederick Pitt Alderman (USA),Raymond James Barbuti (USA),Gold
1443,Amsterdam (1928),1928,Athletics,Athletics,Frederick Pitt Alderman,USA,Men,4x400m relay men,Gold,1,0,0,Frederick Pitt Alderman (USA),Emerson Lane Spencer (USA),Gold
1444,Amsterdam (1928),1928,Athletics,Athletics,George Hetzel Baird,USA,Men,4x400m relay men,Gold,1,0,0,George Hetzel Baird (USA),Frederick Pitt Alderman (USA),Gold
1445,Amsterdam (1928),1928,Athletics,Athletics,George Hetzel Baird,USA,Men,4x400m relay men,Gold,1,0,0,George Hetzel Baird (USA),George Hetzel Baird (USA),Gold
1446,Amsterdam (1928),1928,Athletics,Athletics,George Hetzel Baird,USA,Men,4x400m relay men,Gold,1,0,0,George Hetzel Baird (USA),Raymond James Barbuti (USA),Gold
1447,Amsterdam (1928),1928,Athletics,Athletics,George Hetzel Baird,USA,Men,4x400m relay men,Gold,1,0,0,George Hetzel Baird (USA),Emerson Lane Spencer (USA),Gold
1448,Amsterdam (1928),1928,Athletics,Athletics,Raymond James Barbuti,USA,Men,4x400m relay men,Gold,1,0,0,Raymond James Barbuti (USA),Frederick Pitt Alderman (USA),Gold
1449,Amsterdam (1928),1928,Athletics,Athletics,Raymond James Barbuti,USA,Men,4x400m relay men,Gold,1,0,0,Raymond James Barbuti (USA),George Hetzel Baird (USA),Gold
1450,Amsterdam (1928),1928,Athletics,Athletics,Raymond James Barbuti,USA,Men,4x400m relay men,Gold,1,0,0,Raymond James Barbuti (USA),Raymond James Barbuti (USA),Gold
1451,Amsterdam (1928),1928,Athletics,Athletics,Raymond James Barbuti,USA,Men,4x400m relay men,Gold,1,0,0,Raymond James Barbuti (USA),Emerson Lane Spencer (USA),Gold
1452,Amsterdam (1928),1928,Athletics,Athletics,Emerson Lane Spencer,USA,Men,4x400m relay men,Gold,1,0,0,Emerson Lane Spencer (USA),Frederick Pitt Alderman (USA),Gold
1453,Amsterdam (1928),1928,Athletics,Athletics,Emerson Lane Spencer,USA,Men,4x400m relay men,Gold,1,0,0,Emerson Lane Spencer (USA),George Hetzel Baird (USA),Gold
1454,Amsterdam (1928),1928,Athletics,Athletics,Emerson Lane Spencer,USA,Men,4x400m relay men,Gold,1,0,0,Emerson Lane Spencer (USA),Raymond James Barbuti (USA),Gold
1455,Amsterdam (1928),1928,Athletics,Athletics,Emerson Lane Spencer,USA,Men,4x400m relay men,Gold,1,0,0,Emerson Lane Spencer (USA),Emerson Lane Spencer (USA),Gold
1474,Amsterdam (1928),1928,Athletics,Athletics,Paavo Nurmi,FIN,Men,5000m men,Silver,0,1,0,Paavo Nurmi (FIN),Ville Ritola (FIN),Gold
1476,Amsterdam (1928),1928,Athletics,Athletics,Douglas Gordon Lowe,GBR,Men,800m men,Gold,1,0,0,Douglas Gordon Lowe (GBR),Douglas Gordon Lowe (GBR),Gold
1479,Amsterdam (1928),1928,Athletics,Athletics,"Karoline ""Lina"" Radke",GER,Women,800m women,Gold,1,0,0,"Karoline ""Lina"" Radke (GER)","Karoline ""Lina"" Radke (GER)",Gold
1482,Amsterdam (1928),1928,Athletics,Athletics,Paavo Ilmari Yrjölä,FIN,Men,decathlon men,Gold,1,0,0,Paavo Ilmari Yrjölä (FIN),Paavo Ilmari Yrjölä (FIN),Gold
1485,Amsterdam (1928),1928,Athletics,Athletics,Lemuel Clarence Houser,USA,Men,discus throw men,Gold,1,0,0,Lemuel Clarence Houser (USA),Lemuel Clarence Houser (USA),Gold
1488,Amsterdam (1928),1928,Athletics,Athletics,Halina Konopacka,POL,Women,discus throw women,Gold,1,0,0,Halina Konopacka (POL),Halina Konopacka (POL),Gold
1491,Amsterdam (1928),1928,Athletics,Athletics,Patrick O'Callaghan,IRL,Men,hammer throw men,Gold,1,0,0,Patrick O'Callaghan (IRL),Patrick O'Callaghan (IRL),Gold
1494,Amsterdam (1928),1928,Athletics,Athletics,Robert Wade King,USA,Men,high jump men,Gold,1,0,0,Robert Wade King (USA),Robert Wade King (USA),Gold
1497,Amsterdam (1928),1928,Athletics,Athletics,Ethel Catherwood,CAN,Women,high jump women,Gold,1,0,0,Ethel Catherwood (CAN),Ethel Catherwood (CAN),Gold
1500,Amsterdam (1928),1928,Athletics,Athletics,Erik H. Lundqvist,SWE,Men,javelin throw men,Gold,1,0,0,Erik H. Lundqvist (SWE),Erik H. Lundqvist (SWE),Gold
1503,Amsterdam (1928),1928,Athletics,Athletics,Edward Barton Hamm,USA,Men,long jump men,Gold,1,0,0,Edward Barton Hamm (USA),Edward Barton Hamm (USA),Gold
1506,Amsterdam (1928),1928,Athletics,Athletics,Boughã©Ra Mohamed El Ouafi,FRA,Men,marathon men,Gold,1,0,0,Boughã©Ra Mohamed El Ouafi (FRA),Boughã©Ra Mohamed El Ouafi (FRA),Gold
1509,Amsterdam (1928),1928,Athletics,Athletics,Sabin William Carr,USA,Men,pole vault men,Gold,1,0,0,Sabin William Carr (USA),Sabin William Carr (USA),Gold
1512,Amsterdam (1928),1928,Athletics,Athletics,John H. Kuck,USA,Men,shot put men,Gold,1,0,0,John H. Kuck (USA),John H. Kuck (USA),Gold
1515,Amsterdam (1928),1928,Athletics,Athletics,Mikio Oda,JPN,Men,triple jump men,Gold,1,0,0,Mikio Oda (JPN),Mikio Oda (JPN),Gold
1518,Los Angeles (1932),1932,Athletics,Athletics,Janusz Kusocinski,POL,Men,10000m men,Gold,1,0,0,Janusz Kusocinski (POL),Janusz Kusocinski (POL),Gold
1521,Los Angeles (1932),1932,Athletics,Athletics,Eddie Tolan,USA,Men,100m men,Gold,1,0,0,Eddie Tolan (USA),Eddie Tolan (USA),Gold
1524,Los Angeles (1932),1932,Athletics,Athletics,Stanislawa Walasiewicz,POL,Women,100m women,Gold,1,0,0,Stanislawa Walasiewicz (POL),Stanislawa Walasiewicz (POL),Gold
1527,Los Angeles (1932),1932,Athletics,Athletics,George J. Jr. Saling,USA,Men,110m hurdles men,Gold,1,0,0,George J. Jr. Saling (USA),George J. Jr. Saling (USA),Gold
1530,Los Angeles (1932),1932,Athletics,Athletics,Luigi Beccali,ITA,Men,1500m men,Gold,1,0,0,Luigi Beccali (ITA),Luigi Beccali (ITA),Gold
1533,Los Angeles (1932),1932,Athletics,Athletics,Eddie Tolan,USA,Men,200m men,Gold,1,0,0,Eddie Tolan (USA),Eddie Tolan (USA),Gold
